feature,importance
cat__neighborhood_WOODROW,1.0
cat__neighborhood_BAYSIDE,1.0
cat__neighborhood_WESTERLEIGH,1.0
cat__neighborhood_BENSONHURST,1.0
cat__neighborhood_CONCORD,1.0
cat__neighborhood_Other_Queens,1.0
cat__neighborhood_SUNSET PARK,1.0
cat__neighborhood_DYKER HEIGHTS,1.0
cat__neighborhood_GREENPOINT,1.0
num__rent_stab_units,0.8
cat__neighborhood_HAMMELS,0.8
cat__neighborhood_MADISON,0.8
cat__neighborhood_PLEASANT PLAINS,0.8
cat__pluto_bldgclass_A5,0.8
cat__pluto_bldgclass_V0,0.8
cat__neighborhood_BRONXDALE,0.6
cat__neighborhood_Other_Staten Island,0.6
cat__neighborhood_NEW SPRINGVILLE,0.6
cat__neighborhood_RICHMOND HILL,0.6
cat__neighborhood_WILLIAMSBURG-EAST,0.6
cat__neighborhood_RIDGEWOOD,0.6
cat__neighborhood_TOTTENVILLE,0.6
cat__neighborhood_WHITESTONE,0.6
cat__neighborhood_GLENDALE,0.6
cat__pluto_bldgclass_V1,0.4
cat__neighborhood_WESTCHESTER,0.4
cat__neighborhood_OLD MILL BASIN,0.4
cat__neighborhood_SOUTH OZONE PARK,0.4
cat__neighborhood_BERGEN BEACH,0.4
cat__neighborhood_SOUTH JAMAICA,0.4
cat__neighborhood_SOUTH BEACH,0.4
cat__neighborhood_Other_Brooklyn,0.4
cat__neighborhood_ST. ALBANS,0.4
cat__neighborhood_REGO PARK,0.4
cat__neighborhood_CASTLETON CORNERS,0.4
cat__dof_tax_class_1,0.4
cat__neighborhood_WILLIAMSBRIDGE,0.4
cat__neighborhood_MIDDLE VILLAGE,0.4
cat__neighborhood_BATHGATE,0.2
cat__neighborhood_WAKEFIELD,0.2
cat__neighborhood_WOODHAVEN,0.2
cat__neighborhood_PROSPECT HEIGHTS,0.2
cat__neighborhood_STAPLETON,0.2
cat__pluto_bldgclass_D1,0.2
cat__neighborhood_HARLEM-CENTRAL,0.2
cat__neighborhood_HARLEM-EAST,0.2
cat__neighborhood_MARINERS HARBOR,0.2
cat__neighborhood_COUNTRY CLUB,0.2
cat__neighborhood_CORONA,0.2
cat__neighborhood_CARROLL GARDENS,0.2
cat__neighborhood_KENSINGTON,0.2
cat__neighborhood_FORT GREENE,0.2
cat__neighborhood_LAURELTON,0.2
cat__pluto_bldgclass_D7,0.0
cat__dof_bldg_class_K2,0.0
cat__dof_bldg_class_O1,0.0
cat__dof_bldg_class_O8,0.0
cat__dof_bldg_class_O7,0.0
cat__pluto_bldgclass_D9,0.0
cat__dof_bldg_class_P5,0.0
cat__pluto_bldgclass_D6,0.0
cat__dof_bldg_class_S1,0.0
cat__pluto_bldgclass_S4,0.0
cat__pluto_bldgclass_K2,0.0
cat__pluto_bldgclass_D8,0.0
cat__pluto_bldgclass_I7,0.0
cat__pluto_bldgclass_DB,0.0
cat__pluto_bldgclass_K1,0.0
cat__pluto_bldgclass_W2,0.0
cat__pluto_bldgclass_I9,0.0
cat__pluto_bldgclass_GU,0.0
cat__dof_bldg_class_C2,0.0
cat__dof_bldg_class_C3,0.0
cat__dof_bldg_class_C4,0.0
cat__pluto_bldgclass_G7,0.0
cat__pluto_bldgclass_E1,0.0
cat__dof_bldg_class_C5,0.0
cat__pluto_bldgclass_G0,0.0
cat__dof_bldg_class_G0,0.0
cat__pluto_bldgclass_E2,0.0
cat__dof_bldg_class_G7,0.0
cat__pluto_bldgclass_S9,0.0
cat__pluto_bldgclass_S5,0.0
cat__pluto_bldgclass_K4,0.0
cat__pluto_bldgclass_C7,0.0
cat__dof_bldg_class_Z0,0.0
cat__pluto_bldgclass_A0,0.0
cat__pluto_bldgclass_A1,0.0
cat__pluto_bldgclass_O8,0.0
cat__pluto_bldgclass_A2,0.0
cat__dof_tax_class_3,0.0
cat__dof_tax_class_2A,0.0
cat__pluto_bldgclass_A3,0.0
cat__dof_tax_class_1B,0.0
cat__pluto_bldgclass_O7,0.0
cat__pluto_bldgclass_O6,0.0
cat__dof_bldg_class_Z7,0.0
cat__pluto_bldgclass_O5,0.0
cat__pluto_bldgclass_A7,0.0
cat__pluto_bldgclass_S3,0.0
cat__dof_bldg_class_V1,0.0
cat__pluto_bldgclass_C5,0.0
cat__pluto_bldgclass_O2,0.0
cat__pluto_bldgclass_A9,0.0
cat__pluto_bldgclass_N2,0.0
cat__pluto_bldgclass_M9,0.0
cat__dof_bldg_class_U9,0.0
cat__dof_bldg_class_U7,0.0
cat__dof_bldg_class_U6,0.0
cat__dof_bldg_class_U1,0.0
cat__pluto_bldgclass_M1,0.0
cat__pluto_bldgclass_K7,0.0
cat__dof_bldg_class_S9,0.0
cat__pluto_bldgclass_C2,0.0
cat__pluto_bldgclass_S1,0.0
cat__dof_bldg_class_S3,0.0
cat__dof_tax_class_4,0.0
cat__neighborhood_OAKWOOD,0.0
cat__dof_bldg_class_A9,0.0
cat__neighborhood_GOWANUS,0.0
cat__neighborhood_DOUGLASTON,0.0
cat__neighborhood_ELTINGVILLE,0.0
cat__neighborhood_FLORAL PARK,0.0
cat__neighborhood_FLUSHING-SOUTH,0.0
cat__neighborhood_FORDHAM,0.0
cat__neighborhood_FOREST HILLS,0.0
cat__neighborhood_FRESH MEADOWS,0.0
cat__neighborhood_GERRITSEN BEACH,0.0
cat__neighborhood_GRANT CITY,0.0
cat__neighborhood_KINGSBRIDGE/JEROME PARK,0.0
cat__neighborhood_GRASMERE,0.0
cat__neighborhood_GREAT KILLS,0.0
cat__neighborhood_GREAT KILLS-BAY TERRACE,0.0
cat__neighborhood_GRYMES HILL,0.0
cat__neighborhood_HARLEM-UPPER,0.0
cat__neighborhood_HILLCREST,0.0
cat__neighborhood_HUGUENOT,0.0
cat__neighborhood_JAMAICA HILLS,0.0
cat__neighborhood_DONGAN HILLS-COLONY,0.0
cat__neighborhood_DONGAN HILLS,0.0
cat__neighborhood_CROTONA PARK,0.0
cat__neighborhood_COLLEGE POINT,0.0
num__j51_active_flag,0.0
num__j51_last_abate_amt,0.0
num__far,0.0
cat__neighborhood_ANNADALE,0.0
cat__neighborhood_ARDEN HEIGHTS,0.0
cat__neighborhood_ARROCHAR,0.0
cat__neighborhood_BELLE HARBOR,0.0
cat__neighborhood_BELMONT,0.0
cat__neighborhood_BRIARWOOD,0.0
cat__neighborhood_BROOKLYN HEIGHTS,0.0
cat__neighborhood_BULLS HEAD,0.0
cat__neighborhood_BUSH TERMINAL,0.0
cat__neighborhood_CAMBRIA HEIGHTS,0.0
cat__neighborhood_CASTLE HILL/UNIONPORT,0.0
cat__neighborhood_CITY ISLAND,0.0
cat__neighborhood_CLOVE LAKES,0.0
cat__neighborhood_COBBLE HILL,0.0
cat__neighborhood_KEW GARDENS,0.0
cat__neighborhood_LITTLE NECK,0.0
cat__dof_bldg_class_A5,0.0
cat__neighborhood_UPPER WEST SIDE (79-96),0.0
cat__neighborhood_ROSSVILLE-RICHMOND VALLEY,0.0
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.0
cat__neighborhood_SILVER LAKE,0.0
cat__neighborhood_SPRING CREEK,0.0
cat__neighborhood_THROGS NECK,0.0
cat__neighborhood_TOMPKINSVILLE,0.0
cat__neighborhood_TRAVIS,0.0
cat__neighborhood_UPPER EAST SIDE (59-79),0.0
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.0
cat__neighborhood_LIVINGSTON,0.0
cat__neighborhood_WEST NEW BRIGHTON,0.0
cat__neighborhood_WILLIAMSBURG-SOUTH,0.0
cat__neighborhood_WINDSOR TERRACE,0.0
cat__neighborhood_WOODLAWN,0.0
cat__neighborhood_WYCKOFF HEIGHTS,0.0
cat__dof_bldg_class_A0,0.0
cat__dof_bldg_class_A1,0.0
cat__dof_bldg_class_A2,0.0
cat__neighborhood_ROSSVILLE-CHARLESTON,0.0
cat__neighborhood_ROSSVILLE,0.0
cat__neighborhood_ROCKAWAY PARK,0.0
cat__neighborhood_RICHMONDTOWN,0.0
cat__neighborhood_LONG ISLAND CITY,0.0
cat__neighborhood_MANHATTAN BEACH,0.0
cat__neighborhood_MANOR HEIGHTS,0.0
cat__neighborhood_MIDLAND BEACH,0.0
cat__neighborhood_MILL BASIN,0.0
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.0
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0
cat__neighborhood_NEW DORP-BEACH,0.0
cat__neighborhood_OAKLAND GARDENS,0.0
cat__neighborhood_OAKWOOD-BEACH,0.0
cat__neighborhood_Other_Bronx,0.0
cat__neighborhood_PARKCHESTER,0.0
cat__neighborhood_PELHAM GARDENS,0.0
cat__neighborhood_PELHAM PARKWAY SOUTH,0.0
cat__neighborhood_PORT IVORY,0.0
cat__neighborhood_PORT RICHMOND,0.0
cat__neighborhood_RED HOOK,0.0
cat__pluto_bldgclass_W3,0.0
